Year,Gender,Education,Constant,Income,Income_SD,Percentage,Percentage_SD,NumberOfPeople,NumberOfPeople_SD
2016,Male,Doctor,TRUE,128280,4278.9342,83.5436,1.0319,1589,48.2491
2017,Male,Doctor,TRUE,123540,4330.4825,81.997,1.0342,1667,49.4125
2018,Male,Doctor,TRUE,117890,5998.7617,79.6752,1.5516,1619,69.7668
2019,Male,Doctor,TRUE,128650,4977,83.2833,1.5579,1664,75.9293
1990,Female,Overall,TRUE,41820,NA,NA,NA,28636,234.7195
1995,Female,Overall,TRUE,41730,268.4362,NA,NA,32673,268.2006
2000,Female,Overall,TRUE,45030,204.8819,64.5633,0.3045,37762,271.611
2001,Female,Overall,TRUE,45270,131.3897,64.2693,0.2158,38228,196.9672
2002,Female,Overall,TRUE,44070,117.9682,64.1412,0.215,38510,197.555
2003,Female,Overall,TRUE,43870,118.1294,64.3573,0.2146,38681,197.9095
2004,Female,Overall,TRUE,43300,108.2816,64.4991,0.2136,39072,198.7152
2005,Female,Overall,TRUE,43300,316.8025,65.277,0.2112,40021,200.6413
2006,Female,Overall,TRUE,44510,143.3055,66.1908,0.2079,41311,203.1947
2007,Female,Overall,TRUE,44490,129.4672,66.6572,0.2058,42196,204.9045
2008,Female,Overall,TRUE,43580,129.4297,64.4344,0.2085,40979,202.5445
2009,Female,Overall,TRUE,44410,127.5085,64.3473,0.21,40376,201.3513
2010,Female,Overall,TRUE,44900,318.903,64.4497,0.2105,40196,200.992
2011,Female,Overall,TRUE,44220,245.4973,64.9979,0.2089,40885,202.3596
2012,Female,Overall,TRUE,44520,327.3742,64.7607,0.2077,41318.786,203.2099
2013,Female,Overall,TRUE,44570,147.0573,65.5769,0.2607,42021,258.7942
2014,Female,Overall,TRUE,44090,163.0686,66.0643,0.2254,42957,228.4816
2015,Female,Overall,TRUE,44960,157.482,66.3131,0.2227,44012,234.8284
2016,Female,Overall,TRUE,45810,657.2324,67.1746,0.2203,44968,236.9119
2017,Female,Overall,TRUE,46530,552.7832,67.9506,0.218,45868,238.8393
2018,Female,Overall,TRUE,47420,207.6964,68.4958,0.3084,46945,349.2654
2019,Female,Overall,TRUE,49680,413,69.2297,0.3257,48431,378
1990,Female,LessThan9thGrade,TRUE,23970,NA,NA,NA,847,45.5715
1995,Female,LessThan9thGrade,TRUE,22780,822.086,NA,NA,774,46.084
2000,Female,LessThan9thGrade,TRUE,23450,485.4811,53.5098,1.8414,930,46.8365
2001,Female,LessThan9thGrade,TRUE,24100,368.18,54.021,1.3212,927,33.3716
2002,Female,LessThan9thGrade,TRUE,23470,422.1272,52.6413,1.359,858,32.1102
2003,Female,LessThan9thGrade,TRUE,23500,355.7779,56.4797,1.3825,882,32.5546
2004,Female,LessThan9thGrade,TRUE,23040,326.1984,56.3424,1.3515,917,33.1918
2005,Female,LessThan9thGrade,TRUE,21130,327.2753,56.4972,1.3641,902,32.9203
2006,Female,LessThan9thGrade,TRUE,23000,517.4216,58.5213,1.3543,934,33.4969
2007,Female,LessThan9thGrade,TRUE,22520,568.4226,56.7978,1.4291,823,31.4508
2008,Female,LessThan9thGrade,TRUE,22130,586.5899,51.5843,1.3816,814,31.2789
2009,Female,LessThan9thGrade,TRUE,22020,537.4425,51.9759,1.42,776,30.5425
2010,Female,LessThan9thGrade,TRUE,21380,694.0829,51.6584,1.4579,732,29.6667
2011,Female,LessThan9thGrade,TRUE,22850,284.1404,52.1768,1.4197,779,30.6013
2012,Female,LessThan9thGrade,TRUE,22340,572.3481,49.9593,1.4779,689.6506,28.7983
2013,Female,LessThan9thGrade,TRUE,21770,550.9163,56.0057,1.8384,788,38.9342
2014,Female,LessThan9thGrade,TRUE,22670,301.2989,53.4946,1.5693,796,34.1863
2015,Female,LessThan9thGrade,TRUE,22710,296.6271,54.9399,1.5602,823,34.7691
2016,Female,LessThan9thGrade,TRUE,23660,516.6251,55.4033,1.6643,728,32.7062
2017,Female,LessThan9thGrade,TRUE,23320,555.9121,57.3353,1.6423,766,33.5467
2018,Female,LessThan9thGrade,TRUE,23380,1060.8808,56.2696,2.4137,718,46.5235
2019,Female,LessThan9thGrade,TRUE,24560,595,57.3969,2.624,710,49.6728
1990,Female,Highschool not completed,TRUE,28230,NA,NA,NA,1861,67.2841
1995,Female,Highschool not completed,TRUE,26550,491.5739,NA,NA,1763,69.338
2000,Female,Highschool not completed,TRUE,26600,644.3388,56.5091,1.2993,1950,67.6589
2001,Female,Highschool not completed,TRUE,27660,518.3397,55.345,0.9395,1869,47.2922
2002,Female,Highschool not completed,TRUE,27440,511.6693,55.4885,0.9478,1841,46.9393
2003,Female,Highschool not completed,TRUE,26320,454.4507,53.7581,0.963,1739,45.6302
2004,Female,Highschool not completed,TRUE,25940,431.773,56.1212,0.9631,1797,46.3793
2005,Female,Highschool not completed,TRUE,26350,358.6937,54.4884,0.9689,1740,45.6432
2006,Female,Highschool not completed,TRUE,25530,342.4114,55.9801,0.9608,1802,46.4433
2007,Female,Highschool not completed,TRUE,25150,360.0421,55.2985,0.9999,1649,44.4421
2008,Female,Highschool not completed,TRUE,24230,350.2915,52.7591,1.0057,1568,43.3441
2009,Female,Highschool not completed,TRUE,25290,358.6922,54.503,1.0359,1519,42.6659
2010,Female,Highschool not completed,TRUE,24480,391.5941,52.4283,1.0725,1371,40.5466
2011,Female,Highschool not completed,TRUE,24000,148.8896,49.1103,1.0357,1380,40.6787
2012,Female,Highschool not completed,TRUE,23810,317.3526,51.0955,1.0676,1351.037,40.252
2013,Female,Highschool not completed,TRUE,24420,597.0089,52.2972,1.0678,1309,50.1265
2014,Female,Highschool not completed,TRUE,23740,347.7357,54.067,1.2077,1356,44.5685
2015,Female,Highschool not completed,TRUE,24450,770.1519,51.4961,1.2035,1308,43.7965
2016,Female,Highschool not completed,TRUE,26420,598.646,56.0195,1.2129,1382,45.0126
2017,Female,Highschool not completed,TRUE,26550,478.7311,55.1171,1.2238,1341,44.343
2018,Female,Highschool not completed,TRUE,25590,586.437,56.4373,1.7707,1337,63.427
2019,Female,Highschool not completed,TRUE,26740,337,58.5139,1.9338,1323,67.7404
1990,Female,Highschool completed,TRUE,35840,NA,NA,NA,11810,162.7791
1995,Female,Highschool completed,TRUE,34330,271.7917,NA,NA,11064,168.5896
2000,Female,Highschool completed,TRUE,37070,350.3778,64.1178,0.5446,11789,162.4788
2001,Female,Highschool completed,TRUE,36530,190.5873,63.504,0.3897,11690,115.8225
2002,Female,Highschool completed,TRUE,35790,171.9777,63.2443,0.3897,11687,115.8084
2003,Female,Highschool completed,TRUE,36240,163.9914,64.4024,0.392,11587,115.337
2004,Female,Highschool completed,TRUE,35230,157.0084,64.4905,0.3956,11392,114.4109
2005,Female,Highschool completed,TRUE,34410,175.4196,65.0738,0.3953,11419,114.5397
2006,Female,Highschool completed,TRUE,33910,172.4739,65.6414,0.3914,11652,115.6437
2007,Female,Highschool completed,TRUE,33590,163.9918,65.7005,0.3949,11447,114.6731
2008,Female,Highschool completed,TRUE,33700,336.0424,62.4266,0.4034,10851,111.7926
2009,Female,Highschool completed,TRUE,34740,325.3255,62.363,0.4107,10467,109.8882
2010,Female,Highschool completed,TRUE,35010,304.8337,62.5858,0.418,10117,108.1172
2011,Female,Highschool completed,TRUE,34110,164.8014,62.9546,0.42,10040,107.7229
2012,Female,Highschool completed,TRUE,33860,183.7304,62.3046,0.4228,9870.2551,106.8476
2013,Female,Highschool completed,TRUE,33800,189.8576,63.8216,0.4612,9990,135.9496
